parent_sku,product,full_product_name,color,sizes,variation_skus,copy_only_no_extension,website_filename,product_id
7014,Serena Square Neck Drawstring Pointed,Serena Square Neck Drawstring Pointed Hem Top Wanita Korean Style Premium Spandek Fit Body Casual,Abu Tua,,7014-abu,serenaabutua,serenaabutua.jpg,55405466949
7011,Jessy V-Neck Collar Oval Hem,Jessy V-Neck Collar Oval Hem Crop Top Bordir ALO Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Hitam,M/S/L,7011,jessyhitam,jessyhitam.jpg,54750033588
7011,Jessy V-Neck Collar Oval Hem,Jessy V-Neck Collar Oval Hem Crop Top Bordir ALO Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Cokelat Tua,M/L/S,7011,jessycoklattua,jessycoklattua.jpg,54750033588
7011,Jessy V-Neck Collar Oval Hem,Jessy V-Neck Collar Oval Hem Crop Top Bordir ALO Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Abu Tua,S/L/M,7011,jessyabutua,jessyabutua.jpg,54750033588
7011,Jessy V-Neck Collar Oval Hem,Jessy V-Neck Collar Oval Hem Crop Top Bordir ALO Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Maron,M/L/S,7011,jessymaroon,jessymaroon.jpg,54750033588
7011,Jessy V-Neck Collar Oval Hem,Jessy V-Neck Collar Oval Hem Crop Top Bordir ALO Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Ash Brown,S/M/L,7011,jessyashbrown,jessyashbrown.jpg,54750033588
7011,Jessy V-Neck Collar Oval Hem,Jessy V-Neck Collar Oval Hem Crop Top Bordir ALO Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Fuschia,S/M/L,7011,jessyfuschia,jessyfuschia.jpg,54750033588
7011,Jessy V-Neck Collar Oval Hem,Jessy V-Neck Collar Oval Hem Crop Top Bordir ALO Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Salem,M/S/L,7011,jessysalem,jessysalem.jpg,54750033588
7011,Jessy V-Neck Collar Oval Hem,Jessy V-Neck Collar Oval Hem Crop Top Bordir ALO Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Lime,L/M/S,7011,jessylime,jessylime.jpg,54750033588
7011,Jessy V-Neck Collar Oval Hem,Jessy V-Neck Collar Oval Hem Crop Top Bordir ALO Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Khaki,S/M/L,7011,jessykhaki,jessykhaki.jpg,54750033588
7011,Jessy V-Neck Collar Oval Hem,Jessy V-Neck Collar Oval Hem Crop Top Bordir ALO Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Misty,S/M/L,7011,jessymisty,jessymisty.jpg,54750033588
6066,Aliya One Shoulder Lengan Panjang,Aliya One Shoulder Lengan Panjang Top Wanita Korean Style Premium Stretch Fit Body Casual,Coklat,M/XL/S/L,6066,aliyacoklat,aliyacoklat.jpg,53210955195
6066,Aliya One Shoulder Lengan Panjang,Aliya One Shoulder Lengan Panjang Top Wanita Korean Style Premium Stretch Fit Body Casual,Hitam,M/XL/L/S,6066,aliyahitam,aliyahitam.jpg,53210955195
6066,Aliya One Shoulder Lengan Panjang,Aliya One Shoulder Lengan Panjang Top Wanita Korean Style Premium Stretch Fit Body Casual,Plum,S/XL/M/L,6066,aliyaplum,aliyaplum.jpg,53210955195
6066,Aliya One Shoulder Lengan Panjang,Aliya One Shoulder Lengan Panjang Top Wanita Korean Style Premium Stretch Fit Body Casual,Abu Tua,S/XL/M/L,6066,aliyaabutua,aliyaabutua.jpg,53210955195
6066,Aliya One Shoulder Lengan Panjang,Aliya One Shoulder Lengan Panjang Top Wanita Korean Style Premium Stretch Fit Body Casual,Salem,S/XL/M/L,6066,aliyasalem,aliyasalem.jpg,53210955195
6066,Aliya One Shoulder Lengan Panjang,Aliya One Shoulder Lengan Panjang Top Wanita Korean Style Premium Stretch Fit Body Casual,Maroon,L/M/S/XL,6066,aliyamaroon,aliyamaroon.jpg,53210955195
7015,Mora Square Neck Drawstring Pointed,Mora Square Neck Drawstring Pointed Hem Top Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Hitam,,7015-hitam,morahitam,morahitam.jpg,52454766199
7015,Mora Square Neck Drawstring Pointed,Mora Square Neck Drawstring Pointed Hem Top Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Cokelat,,7015-coktu,moracoklat,moracoklat.jpg,52454766199
7015,Mora Square Neck Drawstring Pointed,Mora Square Neck Drawstring Pointed Hem Top Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Salem,,7015-salem,morasalem,morasalem.jpg,52454766199
7015,Mora Square Neck Drawstring Pointed,Mora Square Neck Drawstring Pointed Hem Top Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Abu,,7015-abu,moraabu,moraabu.jpg,52454766199
7015,Mora Square Neck Drawstring Pointed,Mora Square Neck Drawstring Pointed Hem Top Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Maron,,7015-marun,moramaroon,moramaroon.jpg,52454766199
7015,Mora Square Neck Drawstring Pointed,Mora Square Neck Drawstring Pointed Hem Top Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Khaki,,7015-khaki,morakhaki,morakhaki.jpg,52454766199
A35,Ayna Peplum Collar Button Cardigan,Ayna Peplum Collar Button Cardigan Wanita Korean Style Soft Knit Premium Fit Body Casual,Coklat,,A35-coklat,aynacoklat,aynacoklat.jpg,51401304399
A35,Ayna Peplum Collar Button Cardigan,Ayna Peplum Collar Button Cardigan Wanita Korean Style Soft Knit Premium Fit Body Casual,Hitam,,A35-hitam,aynahitam,aynahitam.jpg,51401304399
A35,Ayna Peplum Collar Button Cardigan,Ayna Peplum Collar Button Cardigan Wanita Korean Style Soft Knit Premium Fit Body Casual,Marun,,A35-marun,aynamaroon,aynamaroon.jpg,51401304399
A35,Ayna Peplum Collar Button Cardigan,Ayna Peplum Collar Button Cardigan Wanita Korean Style Soft Knit Premium Fit Body Casual,Putih,,A35-putih,aynaputih,aynaputih.jpg,51401304399
A10,Yuna Ruched Cross Back Duo,Yuna Ruched Cross Back Duo Top Set Wanita Korean Style Soft Knit Premium Fit Body Casual,Dark Choco,,A10-coktu,yunadarkchoco,yunadarkchoco.jpg,51301388367
A10,Yuna Ruched Cross Back Duo,Yuna Ruched Cross Back Duo Top Set Wanita Korean Style Soft Knit Premium Fit Body Casual,Maroon,,A10-marun,yunamaroon,yunamaroon.jpg,51301388367
A10,Yuna Ruched Cross Back Duo,Yuna Ruched Cross Back Duo Top Set Wanita Korean Style Soft Knit Premium Fit Body Casual,Hitam,,A10-hitam,yunahitam,yunahitam.jpg,51301388367
A10,Yuna Ruched Cross Back Duo,Yuna Ruched Cross Back Duo Top Set Wanita Korean Style Soft Knit Premium Fit Body Casual,Putih,,A10-putih,yunaputih,yunaputih.jpg,51301388367
A44,Dairy Atasan Wanita Korean Style,DAIRY Atasan Wanita Korean Style Ribbon Top Lengan Pendek | Baby Tee Pita Bahu | Kaos Rib Stretch Premium,Baby Pink Polkadot,,A44-polka,dairypinkdot,dairypinkdot.jpg,50261713792
